asn
3356
1299
174
3257
2914
6939
6453
6461
6762
9002
3491
5511
1273
12956
4637
12389
7473
13786
22356
3320
9498
7195
3216
37468
20485
16735
31133
20764
52320
6830
7018
58453
701
4755
10429
33891
7922
15412
52468
9121
32097
11537
8220
4826
1031
28917
35598
1221
7660
4230
62255
4766
8359
46887
9009
5405
14840
9304
9049
7843
15830
11164
7474
23764
26615
7713
202984
61832
137409
50263
13335
61568
328578
53062
31500
6663
8167
23520
264409
7738
3303
24482
262589
8529
267613
32787
39801
6204
2497
64049
58717
20473
29076
12741
8966
37100
3223
3549
9583
34984
209
37662
5617
20115
132602
7545
200612
50509
22381
22773
20965
8708
64289
22927
35297
7029
2603
3326
201054
60068
20804
38158
20562
30844
4134
577
4788
2516
17676
3786
9318
55836
49666
4229
4800
55655
136106
38195
21859
35320
201053
263444
1828
23947
21320
28329
271253
29535
12552
1764
1820
50607
52965
7303
29049
31027
21215
43727
6327
60299
55410
7049
41095
28283
138840
17494
10796
8447
6057
17557
10075
9050
44901
9141
6730
4657
62081
29119
197563
3255
35280
7717
18403
263009
13237
45820
39392
7552
8218
24785
702
12912
13030
12302
53087
32098
28663
6774
37271
29226
28598
38193
11432
4651
33491
50581
1257
28368
5400
58682
852
199995
45899
11404
4837
53181
8455
139009
3741
5650
58552
8641
52573
196844
45430
12874
23106
24724
812
13536
4787
52873
13004
8881
6424
18229
9730
25478
30781
12880
16637
5603
35168
28146
15924
263903
3269
58495
17439
3215
21497
9299
50629
269096
45147
2119
52925
8717
8732
41327
33651
7015
13649
3209
13878
262907
4761
57344
7162
29075
269194
45903
41798
198949
52361
2764
31042
262355
60171
8953
15164
17762
19551
20055
9808
8400
11664
45117
59796
45296
8551
1680
38082
2856
16019
57724
4764
28910
4648
39533
48858
150178
51095
34927
44306
39386
37282
50673
201706
4455
201776
55685
28189
2500
15694
132884
135607
6667
8866
21574
2152
45629
53427
23005
12578
5713
11427
33287
42337
24961
4713
59692
28260
265269
33667
43531
9790
6079
4775
5391
52863
25091
33657
44592
42020
137366
10099
13194
34224
141682
137367
2518
20001
17378
58715
133296
13293
400282
63516
12400
2519
13760
31216
52872
24490
55850
57866
9930
33363
21949
3758
18678
15576
58463
3292
12430
7016
23855
29314
55002
36236
208293
31287
37613
12735
39737
6855
268696
2711
43298
24534
3462
12129
59900
28716
135069
3301
132876
9116
208972
9680
28126
56258
5578
199524
7575
47605
28343
2907
40264
12357
11014
13249
2854
721
29208
42708
33132
12963
327708
16276
12297
60280
53013
61599
265038
2116
31713
22652
45796
58655
9507
263237
28186
2686
5606
18734
7470
62
16397
35625
49063
11172
24748
58511
17995
3352
1267
58224
7385
6768
28220
703
34309
12479
44530
55900
34549
34779
152144
2381
394684
9198
8764
29802
52554
64315
15557
11351
17665
262761
138997
19114
205103
9885
41689
26554
48237
11426
202
7632
43754
9505
8262
1853
11796
8151
4780
33659
3267
134654
56534
199599
47147
35753
9269
10103
31242
262503
9957
8452
139901
1916
396998
13767
263276
132770
59605
